Epoch,train_loss,val_loss
0,0.005487836897,0.005777732469
1,0.003473850433,0.003348420607
2,0.003523969324,0.002976992866
3,0.002421099925,0.002209152095
4,0.002392014023,0.002355106641
5,0.002084689448,0.002226484707
6,0.00291383313,0.002081496408
7,0.002732776571,0.002073532436
8,0.001651333878,0.002121982398
9,0.001968770288,0.002165729646
10,0.001618356677,0.002252965933
11,0.00216784724,0.002147320891
12,0.002679528436,0.002327871509
13,0.002133169444,0.002371073002
14,0.001894138986,0.002037428552
15,0.002047643531,0.001990536461
16,0.001733206911,0.002407240681
17,0.001783717191,0.002133252798
18,0.00142760179,0.002281835768
19,0.001753498334,0.001827159664